"","GSM1317914","GSM1317915","GSM1317916","GSM1317917","GSM1317918","GSM1317919","GSM1317920","GSM1317921","GSM1317922","GSM1317945","GSM1317946","GSM1317947","GSM1317948","GSM1317949","GSM1317950","GSM1317951","GSM1317952","GSM1317953","GSM1317954","GSM1317955","GSM1317956","GSM1317957","GSM1317958","GSM1317959","GSM1317960","GSM1317961","GSM1317962","GSM1317963","GSM1317964","GSM1317965","GSM1317966","GSM1317967","GSM1317968","GSM1317969","GSM1317970"
"ILMN_2340565",7.16887474757291,7.30082210679701,7.47964596848862,7.24244693340149,7.41224556553375,7.28478397312248,6.99389402959502,7.12562327129502,6.79334166282762,7.00944361693958,6.78371051801936,6.93084898545949,6.48539344427749,6.38707617515143,6.706161050425,6.53345750027755,6.68397274304592,6.55963021339732,6.633906588234,6.64042907425269,6.62130574874042,6.59401145531615,6.56093312381357,6.52779965010149,6.87898533323343,6.52473215644968,6.51915144013147,6.36914488211604,6.58445646935781,6.44024731755106,6.61678390486366,6.63002440201173,6.56477900431051,6.56618436223377,6.56928004004645
"ILMN_1767193",7.00785776938183,7.31687922948633,7.08093969444498,7.48795998706495,7.7206293564297,7.04658941643693,7.10617849378748,7.15561646198364,7.05719411881178,7.04953328109931,6.96957453246979,6.79726236687833,6.63891296395323,6.11218600341386,6.23747730996253,6.25890202709396,6.27487760843848,6.21471602367424,6.13385951180986,6.32454323751484,5.87906975385237,6.26841143059517,6.14401719606296,6.31470046356667,6.36839323170332,6.21010600588483,6.25157244238645,6.29960435892913,6.17985741365725,6.22746062775235,6.01712298288272,6.42222685167523,6.31605399437401,6.34908338431995,6.09551133620742
"ILMN_2384056",7.79687101411475,7.30900431058531,6.9177190427219,7.77691917505149,7.85650106504657,8.5562232694637,8.4136181036099,8.15227623488569,7.97647265602792,6.70318811798913,7.45420494855288,7.27925901572702,7.23564928160843,7.08103595163881,6.42372430992144,6.37965076834267,6.24837736488365,6.02063965782586,6.39769720774663,6.32343667052741,6.30190429105799,6.41024632020788,6.29831173200725,6.30089023053283,6.46597991626829,6.57961867052136,6.61012697515712,6.55027295058509,6.25475958256099,6.22746062775235,6.48890813262492,6.36924829080411,6.39319323537404,6.37729275609389,6.40599204696201
"ILMN_2085760",10.3905298929251,10.3140361203833,10.0093737352953,9.7058594026243,10.293278265771,9.88349638007851,9.90256329296797,9.98703079449743,10.1964521029473,9.42102043073317,9.70087300274957,9.32873610159315,8.4310285627212,9.81533055512133,8.46735554987458,8.50232121279434,8.4470973390539,9.00112923029054,8.28927420293674,8.5245182338416,8.33133121385181,9.12585754786037,7.96737274396568,8.69617364085803,8.58426918078004,8.7204768725234,8.37329252424833,8.55899150418977,8.15422813946408,8.50972191813572,8.45206698995588,8.44736875624623,8.96455683792434,8.34451737771849,8.80619765358288
"ILMN_1880983",7.28171479066503,7.29523590098454,7.14332769050993,7.26096078691925,7.51828022717212,6.97624394857474,7.03271081660135,7.03498328269333,6.78239620665396,6.78447045954803,6.8670650117136,6.60589930750989,6.71415133857643,6.5908795471745,6.47207145658337,6.56137486094646,6.52402553250558,6.61502908529554,6.59610755213883,6.48670269665219,6.60903446559606,6.48221025533157,6.5466832549357,6.37797657870242,6.51565879759797,6.43728129551908,6.4714653266562,6.48936622120136,6.390087741931,6.22190760707798,6.30587680268951,6.74389565597196,6.672246739403,6.91965254270571,6.42555701785897
"ILMN_1657423",8.38228535941946,8.84340188921695,8.64568044294661,8.09897599770479,8.70944787895628,8.79975223084532,8.67698963095001,8.92154900647487,8.77257771158422,8.17938356674266,8.37676460102473,8.1249392291246,7.51320848198887,8.20933961908716,7.49446784955084,7.52073097450022,7.54052329362321,7.60619704232208,7.75886843700686,8.02154702642032,7.92240887050315,7.81662860608468,7.62651190686261,8.01091550345409,7.64117865546175,7.7153350822186,7.70832204256366,7.98614987853305,7.8039228816619,7.25594262376552,7.80909895140417,7.95970465783803,7.77484500349685,7.89375922776535,7.7035528961278
"ILMN_1731354",8.8843213941218,9.02893014594389,8.58850927345079,9.29152389628843,9.28393172384532,8.94984889824745,9.30531549617482,9.0197319078015,8.98230205022682,8.55445231504302,8.23899808511037,8.82530104687129,8.85330521241877,8.26830037400897,8.24935234701882,8.13255622413485,8.08579551158987,8.07458169907225,8.07928937506577,8.09916659520047,8.31588600272413,8.55820985486424,8.12710962169226,7.83985568759135,8.06772851162789,8.14540897092521,8.01237097362407,7.89719399579869,8.10878179024178,8.03048824190808,8.44094544173338,8.40263578585675,8.03126083256228,8.32085915955358,7.95249876398554
"ILMN_1696432",7.0208342970338,7.07161809280878,6.75467900339545,7.06902771203891,7.03853189986889,6.78308022143267,6.71905542108648,6.79398482261889,6.91840182725981,6.19142021213138,6.57367375231361,6.88529412075631,6.23466525897119,6.24802254096495,6.52063413568949,6.2833506845813,6.36789404407074,6.40977900118213,6.40491107324063,6.36776593055409,6.45752688720533,6.33446755459427,6.38267903936987,6.25203603664076,6.5633938832598,6.5209605636145,6.2089361019519,6.29091308346171,6.58799163922536,6.28629703582182,6.12244684692274,6.09219351626616,6.21852089369332,6.14440427636747,6.15405592979437
"ILMN_1680687",6.76545478735494,6.84193733986369,6.81724552583041,6.85443289697746,7.07138275108268,6.95134015191996,6.74743877398215,6.98815212095168,6.81893783494005,6.39098802232485,6.59243484547399,6.56499351294417,6.39917030686558,6.24802254096495,6.43303046814486,6.54740525956314,6.5387722096205,6.58476298493061,6.55584630608077,6.49239247589643,6.56390197177524,6.3231526278013,6.48524385873947,6.54782838523721,6.49627335034888,6.56232555634691,6.65420855964124,6.56519421625238,6.45231296869932,6.41686093986253,6.46321131406274,6.52164306308984,6.50225461338122,6.81194637936966,6.54454778217241
"ILMN_1691809",7.17575804821541,7.41627393280902,7.36464804830685,7.3454924947509,7.83965757775487,7.31126641038497,7.64588189342561,7.41602520674772,7.30942244718566,6.87450513601362,6.81622055769873,7.2986256487142,7.17027365335464,6.98709980161958,6.54186128648827,6.73906437190683,6.60924490278767,6.7086933483298,6.6476868086736,6.80403220867647,6.88372378733476,6.71858769568876,6.69233193900036,6.73656245146908,6.84753127067481,6.6104286241781,6.48476119152656,6.61709140707279,6.67671671746696,6.53503780992817,6.85012069046626,7.15892311104459,6.41695150008558,6.58757684722497,6.35797593455164
