"gene","rho_inflammatory","p_inflammatory","fdr_inflammatory","rho_oxphos","p_oxphos","fdr_oxphos","neglog10FDR_oxph","status_oxph"
"FPR1",0.706169953917063,1.81025443406941e-20,2.99632837544423e-18,0.23699921506072,0.00730148396467734,0.0304186181598472,1.51686051872431,"Not significant"
"DAZAP2",0.357494929435068,3.68911161290275e-05,0.00030144126825836,0.0798101644071093,0.372421927428728,0.565022207813988,0.247934482195556,"Not significant"
"PCBP2",-0.400198028094822,3.13529245890187e-06,3.50581435437832e-05,-0.47451415802834,1.74148187494001e-08,6.06001970838392e-07,6.21752596341978,"Significant"
"C20orf24",0.657143192159652,4.84303106977551e-17,7.66325903675988e-15,0.317086889001044,0.000280959591425122,0.0020839216865167,2.68111860579128,"Significant"
"CDKN2AIPNL",0.21963883713569,0.0130975428392821,0.0481404061787435,0.0444767326980072,0.619529470928711,0.773151882891639,0.111735182120069,"Not significant"
"GCA",0.480580960231514,1.07645069155505e-08,2.60909662320168e-07,0.229768049640721,0.0093600254195922,0.0372314434041929,1.42909012654484,"Not significant"
"KLF2",-0.17467420360159,0.0495135386372123,0.138844306573074,-0.10184983122491,0.254533667504725,0.440219911557811,0.356330317793317,"Not significant"
"C9orf19",0.638917166440535,6.34726601547508e-16,9.73724790752058e-14,0.343976435906953,7.5070461672273e-05,0.000700730883783592,3.15444874113177,"Significant"
"RPS10",-0.0796460048190329,0.373409280685874,0.576734255851481,0.21035532838165,0.0176075367611121,0.0612857459488263,1.21264052345243,"Not significant"
"NACA",-0.376079868889364,1.31636854526718e-05,0.000122073410358927,0.233474240106352,0.00824861418426714,0.0336348272709849,1.47321079826067,"Not significant"
"FGR",0.59990274417613,9.11688910798827e-14,1.03788150709447e-11,0.331083555350341,0.000143511863320595,0.00119794789956299,2.92156206961309,"Significant"
"NUCB1",0.0633547523812577,0.479178897269594,0.673613559613662,-0.123185402153987,0.16765926814754,0.33006167505089,0.481404900632438,"Not significant"
